" 1. CIRCULACION NACIONAL E INTERNACIONAL Desarrollar acciones que fortalezcan el ámbito de la circulación regional, nacional e internacional de las prácticas artísticas y saberes culturales.",,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,, ORIENTADOR, SOLICITUD, VALOR COMPROMETIDO,COMITE,PROCESO,RUT IVA,OBSERVACIONES,,,,
CORPORACIÓN FESTIVAL COLOMBIA BAILA, SOLICITUD DE APOYO LOGÍSTICO,  15.000.000 ,  15.000.000 ,  1.050.000 ,  16.050.000 , APOY, EMERSON, ´043,  15.000.000 ,13 AGOSTO 2025,"CIRCULACION:  Cada año, el Festival es un escenario de integración social para todas las edades, una actividad que ha encontrado espacio no solo en la plaza principal sino también en el corazón de los locales que se preparan para recibir en las calles a los turistas y mostrar con agrado la cara de un pueblo que camina hacia el futuro y se aleja de los conceptos y estereotipos de la época de violencia que padeció.
Volver al Festival significa entonces encontrarse con un proyecto visionario de la Fundación Raíces Folclóricas que durante más de 29 años ha apostado por acercar a niños, niñas, adolescentes y jóvenes a las expresiones que hacen grande a Colombia y fomentar espacios de sana convivencia: es bajo esta premisa que el Festival Colombia Baila nació como la oportunidad de circulación de talentos pero también de formación de públicos, que con los años se ha arraigado en el sentir de todo floridano y se ha convertido en la plataforma para mostrar a la región el valor y fuerza que tiene la paz y la decisión de apostar por el cambio.
Realizar la vigésima segunda versión (XXII) del festival Colombia baila del 14 al 17 de agosto de 2025, para el fortalecimiento de las tradiciones artísticas y culturales de nuestra región y país y formación de públicos.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencia el pago, el contrato, acta de inicio, informes finales, falta segundo pago.",,,,
FUNDACIÓN SOCIOCULTURAL LA NANA-FESTIVAL REGIONAL DE TEATRO DE FUNDACIÓN, PROYECTO DE ARACATACA Y MAGDALENA,  25.000.000 ,  25.000.000 ,  1.750.000 ,  26.750.000 , MON, MONICA, ´046,  25.000.000 ,13 AGOSTO 2025,"CIRCULACION:  Fortalecer los procesos de circulación, formación y apropiación cultural en los municipios de Fundación y Aracataca – Magdalena, mediante la realización del XXVIII Festival Regional de Teatro, a través de la presentación de funciones teatrales de carácter nacional e internacional, el desarrollo de espacios de formación artística (Taller de Mimo a 100 niños) y la creación de escenarios de integración comunitaria que promuevan el disfrute, el diálogo y el reconocimiento del teatro como práctica cultural transformadora en el territorio. Presentar 20 funciones teatrales de carácter nacional e internacional, a cargo de 10 agrupaciones invitadas, con el apoyo del Ministerio de las Culturas, las Artes y los Saberes, en el marco del XXVIII Festival Regional de Teatro de Fundación y Aracataca – Magdalena.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencia el pago, Se observa el informe final el cual no se encuentra firmado y los enlaces corresponden a redes sociales y no a videos que se puedan descargar para memoria documental, revisar los productos por la parte tecnica, hay dos versiones de informe deben dejar una sola.  Deben subsanar el anexo de gastos dado que el soporte No.011 no coincide con el pago, igualmente la sumatoria de los gastos difiere con el valor aprobado por el ministerio de cultura. subsanando se puede pagar el segundo pago. falta adjuntar contrato y acta de inicio",,,,
ASOCIACION DE CABILDOS INDIGENAS DE LA ZONA DE IPIALES, PROYECTO DE SAMANIEGO,  80.000.000 ,  80.000.000 ,  5.600.000 ,  85.600.000 , MON, MONICA, ´048,  80.000.000 ,13 AGOSTO 2025,"CIRCULACION:  Fortalecer la realización del Concurso Departamental de Bandas de Samaniego mediante la optimización de su producción técnica y logística, garantizando el montaje integral de escenarios, tarimas, sonido, microfonería, iluminación y cabinas, con el fin de ofrecer un evento de alta calidad que preserve su valor cultural y potencie su proyección regional. 
El Concurso Departamental de Bandas de Samaniego, Nariño, es organizado por la Alcaldía Municipal de Samaniego, a través de su Coordinación de Cultura, con el respaldo de la Dirección Administrativa de Cultura del Departamento de Nariño y el acompañamiento técnico y administrativo de ASOCIACION DE CABILDOS INDIGENAS DE LA ZONA DE IPIALES. Este evento fue instituido oficialmente en 1983, mediante el Decreto No. 604 expedido por la Gobernación de Nariño. Un año más tarde, en 1984, fue designado Samaniego como sede permanente mediante la Ordenanza No. 010, consolidando la continuidad y proyección del certamen a lo largo del tiempo.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencia el pago, el contrato, acta de inicio, informes finales, el festival ya culminó deben cerrar el proceso",,,,
CORPORACION PARA EL DESARROLLO CORAL DE BUGA, CORPACOROS BUGA -30 ENCUENTRO DE MUSICA CORAL COLOMBIANA,  50.000.000 ,  50.000.000 ,  3.500.000 ,  53.500.000 , MON, MONICA, ´055,  50.000.000 ,25 AGOSTO 2025,"CIRCULACION:  Promover la música coral en Colombia, generando un espacio de intercambio cultural y artístico entre coros de diferentes regiones del país, fortaleciendo la tradición coral y ofreciendo a la comunidad un evento de alta calidad artística.
Realizar el 30º. Encuentro de Música Coral Colombiana, del 2 al 4 de octubre próximos con la participación de 7 coros provenientes de los departamentos de Caldas, Antioquia, Pasto, Cundinamarca y Cauca y dos coros locales vinculados a los procesos formativos propias, a partir de la realización de 12 conciertos todos de entrada libre dirigidos a público en general.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencia el pago, el contrato, acta de inicio, informes y entregables",,,,
FUNDACIÓN CUNA DE ACORDEONES, PROYECTO FESTIVAL VALLENATO GUAJIRA,  100.000.000 ,  100.000.000 ,  7.000.000 ,  107.000.000 , MON, MONICA, ´066,  100.000.000 ,3 SEPTIEMBRE 2025,"CIRCULACION:  Fortalecer las economías y oficios conexos al Festival Cuna de Acordeones, en especial manifestaciones artísticas como la danza y la música, a través de la generación de siete (7) incentivos económicos para los participantes de los concursos de música vallenata en sus diferentes categorías, así como el otorgamiento de un apoyo económico a un artista nacional invitado, contribuyendo a la visibilizarían y proyección de las expresiones culturales vinculadas al festival.
Promover la participación y el reconocimiento del talento local en música vallenata, mediante la entrega de seis incentivos económicos distribuidos en las diferentes categorías de los concursos del Festival Cuna de Acordeones, presentación en el festival.
El Festival Cuna de Acordeones es el evento folclórico y cultural más importante de la música vallenata por su tradición y preservación de este género, por esta razón fue declarado Patrimonio Cultural y Artístico de la Nación por el Congreso de la República mediante ley 1052 de 2006. Este evento se desarrolla en el departamento de La Guajira, municipio de Villanueva el cual, es considerado Cuna de Acordeones. Con el presente proyecto, se busca apoyar el proceso de premiación de las agrupaciones participantes en las categorías diseñadas para exaltar las muestras folclóricas y culturales vallenata en el marco del festival, esto es, la visibilización de los talentos emergentes que participan y se dan a conocer en estos espacios mediante muestras de su talento para la composición musical, interpretación del acordeón y de la música vallenata en general, en categorías infantil, juvenil, profesional, aficionado, piquería, entre otras.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencia el pago, el contrato, acta de inicio, informes y entregables",,,,
FUNDACION PARA EL DESARROLLO SOCIALY SOSTENIBLE LA CONCEPCION,FESTIVAL DE SEXTETOS DE URABÁ,  50.000.000 ,  50.000.000 ,  3.500.000 ,  53.500.000 , MON, MONICA, ´067,  50.000.000 ,3 SEPTIEMBRE 2025,"CIRCULACION Fortalecer el Sexteto en el Caribe colombiano, mediante la realización del VIII Encuentro Nacional de Sexteto, a través del desarrollo de espacios para presentaciones artísticas, talleres de formación, intercambio de saberes y la construcción de redes colaborativas.
Fomentar la salvaguarda, la difusión y la sostenibilidad del sexteto en el Caribe colombiano, a través de presentaciones artísticas de los 11 grupos invitados que fortalezcan su visibilidad y circulación en el marco del festival. 
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencia el pago, el contrato, acta de inicio, informes y entregables",,,,
FUNDACION FESTIVAL DE CINE VERDE, BARICHARA SANTANDER,  120.000.000 ,  120.000.000 ,  8.400.000 ,  128.400.000 , MON, MONICA, ´076,  120.000.000 ,15 SEPTIEMBRE 2025,"CIRCULACION: Realizar la 15ª edición del Festival de Cine Verde de Barichara, del 25 al 28 de septiembre de 2025, como un espacio de encuentro, circulación y reflexión en torno al cine y al medio ambiente, que promueva la conciencia ecológica, el intercambio cultural y la participación de la comunidad.
El festival busca inspirar a una nueva generación de realizadores, artistas y público comprometido con la defensa de nuestro hábitat y ecosistemas. Adicionalmente busca crear espacios de debate, desarrollar procesos académicos, actividades artísiticas y lúdicas alrededor del tema, que contribuyan a la formación de públicos, al enriquecimiento del panorama cultural y turístico de Colombia y a la construcción de un mundo mejor, mediante la exhibición de contenidos cinematográficos nacionales e internacionales con temática ambiental. El festival también busca apoyar y promover contenidos de alto valor, con temática verde que generalmente tienen poca circulación en el circuito comercial. En 14 años hemos proyectado más de 1.000 películas, impactando a más de 190.000 personas.
Realizar la actividad Campecine (cine en veredas y municipios de la provincia Guanentina) en el marco del 15° Festiver, impactando a 2 municipios, 18 veredas y 1 corregimiento de Barichara, presentaciones artísticas y musicales para el público.
El festival tiene proceso de circulación de artistas de las artes escénicas, musica y literatura.",48 - Impuesto sobre las ventas Iva,"No se evidencia el pago, el contrato, acta de inicio, informes y entregables", xxx,,,
CORPORACION LA ESKINA DEL BARRIO , IBAGUE TOLMA,  30.000.000 ,  30.000.000 ,  2.100.000 ,  32.100.000 , ADIC mon, MONICA, ´130,  30.000.000 ,27 OCTUBRE 2025,"CIRCULACION: Realizar la 20ª versión del FESTIVAL INTERNACIONAL DE HIP HOP ÁRMATE DE ARTE Ibagué 2025, A fin de potenciar y visibilizar los procesos creativos de artistas y agrupaciones de RAP, FREESTYLE, BREAKING, GRAFFITI Y DEEJAY, mediante espacios formativos, académicos, creativos y de circulación, el cual cuente con invitados nacionales e internacionales.
El Festival Internacional de Hip Hop Ármate de Arte busca consolidarse como un espacio artístico, cultural y social que promueve la convivencia, la unidad y la integración de las familias a través de las expresiones del hip hop. Este encuentro se ha convertido en una plataforma de creación, formación y circulación que impulsa el talento local, nacional e internacional, fomentando el intercambio cultural y el reconocimiento de la diversidad como elemento esencial de la transformación social. 
El hip hop, como movimiento artístico y social, representa una herramienta de transformación y construcción de sentido para quienes lo apropian como proyecto de vida. A través del festival, se promueven mensajes alentadores, el bienestar emocional y la salud mental, fortaleciendo el tejido social y ofreciendo alternativas creativas frente a los desafíos contemporáneos.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,"No se evidencia el pago, el contrato, acta de inicio, informes y entregables", OK PARA PAGOS ,,,
ASOCIACION VICTIMAS NUCLEO SANTIAGO PEREZ, ATACO - TOLIMA ,  50.000.000 ,,,,,,,,,,,CONTRATO  FIRMADO,,,,
 SUB TOTAL,,,  811.250.000 ,  56.787.500 ,  868.037.500 ,,,,  811.250.000 ,0,,,,,,,
 3. NARRATIVAS ARTISTICAS Y BIOCULTURALES Posicionamiento de Prácticas y Narrativas Artísticas Bioculturales e Interculturales.,,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,,, SOLICITUD, VALOR COMPROMETIDO,COMITE,,,,,,,
